"id","druh","jmeno","vaha","narozen","spotreba"
"1074","31","Arnoldianna","51","1945-11-25",NULL
"1075","50","Pipina","48","1962-07-04",NULL
"1076","61","Cliff","20","1985-07-22",NULL
"1077","5","Rischa","146","2003-01-27",NULL
"1078","20","Baltazar","99","1973-08-04",NULL
"1079","87","Amanda","51","1921-06-28",NULL
"1080","70","Puf","131","1975-04-18",NULL
"1081","54","Palecek","112","1926-12-19",NULL
"1082","23","Snizek.","116","1945-07-20",NULL
"1083","56","Dina","20","1983-08-03",NULL
"1084","50","Tutanchamon","20","1944-02-29",NULL
"1085","34","Maud","42","2010-10-07",NULL
"1086","86","Casey","10","1958-04-10",NULL
"1087","98","Kolomanm","93","1995-09-04",NULL
"1088","37","Kaliala","36","1918-07-11",NULL
"1089","97","Maxim","12","1994-02-25",NULL
"1090","27","Burt","108","1978-02-18",NULL
"1091","20","Buchta","71","1923-01-18",NULL
"1092","83","Raduza","11","1943-06-13",NULL
"1093","40","Didinka","49","1936-12-01",NULL
"1094","28","Judy","91","1942-12-31",NULL
"1095","85","Terezka","126","1940-12-21",NULL
"1096","15","Andulka","126","1990-08-18",NULL
"1097","101","Risa","54","1993-02-10",NULL
"1098","32","Arcus","60","1982-07-01",NULL
"1099","20","Rambo","8","1969-11-21",NULL
"1100","19","Deisy","131","1964-09-10",NULL
"1101","102","Kukiska","13","1976-07-20",NULL
"1102","48","Masa","101","1951-06-27",NULL
"1103","47","Tapinka","67","1916-07-12",NULL
"1104","24","Ladynka","109","1942-11-21",NULL
"1105","53","Vrtulka","52","1975-07-31",NULL
"1106","56","Dinuska","42","1912-02-13",NULL
"1107","48","Romie","111","1948-06-21",NULL
"1108","75","Xindik","78","1994-11-01",NULL
"1109","103","Eimi","63","1943-09-24",NULL
"1110","15","Figo","109","1970-09-28",NULL
"1111","99","Muriska","123","1959-04-29",NULL
"1112","79","Bobrinka","74","1973-02-24",NULL
"1113","74","Babycrab","144","2002-08-14",NULL
"1114","86","Zuzi","65","2008-07-13",NULL
"1115","90","Mala","63","1945-08-08",NULL
"1116","17","Hery","87","1991-01-12",NULL
"1117","28","Matilda","97","1955-03-22",NULL
"1118","38","Jahoda","2","1943-10-14",NULL
"1119","65","Sebalda","71","1989-12-05",NULL
"1120","14","Bara","103","2007-03-06",NULL
"1121","33","Athena","122","1954-12-27",NULL
"1122","27","Ponozka","73","1916-02-02",NULL
"1123","80","Naty","1","1978-02-02",NULL
"1124","1","Milinka","52","1979-01-23",NULL
"1125","13","FREDY","106","2001-11-14",NULL
"1126","18","Placka","115","1987-01-28",NULL
"1127","46","Eowyn","103","1940-06-29",NULL
"1128","51","Putifar","48","1977-11-04",NULL
"1129","14","Rotty","65","1982-08-20",NULL
"1130","28","Blesk","137","1968-06-17",NULL
"1131","55","Norina","81","2005-01-21",NULL
"1132","46","Majla","121","1986-11-25",NULL
"1133","81","Barca","149","1956-01-25",NULL
"1134","50","Lucik","125","1934-05-24",NULL
"1135","21","Minnie","100","1940-06-06",NULL
"1136","98","Frankie","16","1961-09-21",NULL
"1137","70","Chucky","30","2002-02-25",NULL
"1138","93","Andy","143","1940-07-25",NULL
"1139","79","Fifi","143","2006-11-19",NULL
"1140","75","Strevo","95","1953-10-09",NULL
"1141","36","Fanta","127","2010-10-25",NULL
"1142","92","Alojza","143","2007-09-25",NULL
"1143","80","Matisek","24","1969-01-09",NULL
"1144","50","Wolf","47","1932-08-03",NULL
"1145","97","Jiras","29","1996-07-30",NULL
"1146","86","Taci","9","1995-12-28",NULL
"1147","90","Jingles","85","1957-02-18",NULL
"1148","95","Camelie","74","1982-04-11",NULL
"1149","54","Tunta","89","1954-11-18",NULL
"1150","36","Muficek","69","1990-04-02",NULL
"1151","40","Oira","148","1975-07-06",NULL
"1152","43","Cmoudik","142","1969-07-17",NULL
"1153","26","Sanynka","100","1936-01-06",NULL
"1154","10","Oren","42","1960-02-16",NULL
"1155","48","Piskvorka","29","2003-04-27",NULL
"1156","11","Bubisek","114","1999-02-06",NULL
"1157","43","Zulejka","16","1952-06-16",NULL
"1158","24","Bluebelle","89","1949-07-27",NULL
"1159","16","Ketty","7","1979-03-25",NULL
"1160","96","Milda","24","1988-05-08",NULL
"1161","15","Mikina","20","1914-11-10",NULL
"1162","46","Citrina","18","1971-10-15",NULL
"1163","56","Jennifer","17","1955-05-03",NULL
"1164","63","Akina","46","1997-12-25",NULL
"1165","32","Armigo","43","1912-11-14",NULL
"1166","21","Una","21","1958-12-15",NULL
"1167","16","Mayki","22","1919-01-15",NULL
"1168","50","Cicinka","12","1980-12-11",NULL
"1169","49","Cecilka","54","1984-06-22",NULL
"1170","24","Marena","16","1946-06-17",NULL
"1171","45","Mercy","120","1963-06-16",NULL
"1172","81","Owen Wilson","126","1992-09-23",NULL
"1173","4","Truhlik","70","2010-02-02",NULL
"1174","65","Minek","9","1987-02-28",NULL
"1175","43","Lolinek","47","1968-04-12",NULL
"1176","81","Mikeska","123","1994-09-06",NULL
"1177","4","Frenkie","67","1931-06-13",NULL
"1178","16","Earwen","37","2009-09-21",NULL
"1179","15","Vrestilka","67","1995-04-27",NULL
"1180","67","Goodinka","4","1936-03-31",NULL
"1181","64","Kajusa","150","1957-11-23",NULL
"1182","63","Irma","92","1969-07-20",NULL
"1183","44","Heny","55","1962-11-22",NULL
"1184","84","Kejchanek","58","1994-07-27",NULL
"1185","95","Kminek","117","1947-01-18",NULL
"1186","29","Ejmiii","118","1914-03-18",NULL
"1187","46","Sheila","88","1992-07-06",NULL
"1188","92","Jituska","92","1982-11-19",NULL
"1189","92","Certice","131","1999-08-19",NULL
"1190","63","Cmoura","18","1912-05-22",NULL
"1191","91","Zorka","1","1977-08-10",NULL
"1192","96","Ginny","58","1913-10-27",NULL
"1193","14","Madona","89","1924-11-25",NULL
"1194","71","Pallas Athena","56","1971-10-20",NULL
"1195","84","Besinka","29","1947-03-09",NULL
"1196","70","Muffy","144","1983-03-14",NULL
"1197","63","Luisana","117","1963-05-01",NULL
"1198","86","Owen-wilson","20","1929-10-19",NULL
"1199","77","Sesi","144","1973-09-13",NULL
"1200","26","Bee-Bee","47","1989-11-27",NULL
"1201","20","Bobika","85","1943-04-30",NULL
"1202","91","Maja","145","2009-07-10",NULL
"1203","73","Ange","5","1980-08-02",NULL
"1204","27","Dulca","53","2011-01-10",NULL
"1205","18","Zlatenka","85","1980-05-11",NULL
"1206","55","Elinka","114","2005-05-22",NULL
"1207","72","Angie","94","1974-10-04",NULL
"1208","19","Talissa","6","1920-05-12",NULL
"1209","12","Rezi","106","1966-02-28",NULL
"1210","78","Minda","86","1984-08-14",NULL
"1211","13","Tapik","28","1935-05-28",NULL
"1212","71","Orianna","129","1911-11-06",NULL
"1213","57","Piper","18","1915-09-15",NULL
"1214","32","Jacquellina","150","2005-08-27",NULL
"1215","104","Goldie","101","1996-03-14",NULL
"1216","53","Nycinka","52","2000-10-11",NULL
"1217","50","Toxina","103","1978-02-06",NULL
"1218","30","Andromeda","88","1976-12-01",NULL
"1219","53","Kiki","93","1965-02-16",NULL
"1220","49","Casanova","102","1983-08-22",NULL
"1221","93","Romicka","66","1985-08-18",NULL
"1222","92","Katty","146","1914-01-13",NULL
"1223","31","Kikuska","96","1975-10-29",NULL
"1224","4","Fanny","126","1977-12-31",NULL
"1225","2","Minda","14","1999-04-05",NULL
"1226","33","Dorotek","18","2003-03-14",NULL
"1227","13","Darsina","113","1929-01-08",NULL
"1228","91","Alana","47","1998-01-17",NULL
"1229","50","Denis","49","1944-03-20",NULL
"1230","74","Barunka","52","1989-07-22",NULL
"1231","5","Buffy","57","1930-02-03",NULL
"1232","53","Bledulka","126","1992-04-28",NULL
"1233","99","Sharon","57","1912-05-20",NULL
"1234","24","Befy","99","1947-06-29",NULL
"1235","55","Dartananka","42","1963-02-11",NULL
"1236","10","Nunicek","113","2009-10-31",NULL
"1237","16","Casandda","93","1948-10-11",NULL
"1238","85","Lotynka","59","1950-12-29",NULL
"1239","85","Molina","134","1997-05-23",NULL
"1240","102","Carka","102","1974-12-14",NULL
"1241","35","Cyril","42","1919-04-27",NULL
"1242","65","Maca","37","1960-05-11",NULL
"1243","98","Dasa","29","1958-09-26",NULL
"1244","20","Minonka","76","1997-04-04",NULL
"1245","5","Ambra","124","1977-01-24",NULL
"1246","66","Nitka","148","1930-04-18",NULL
"1247","102","Xao","19","2008-11-23",NULL
"1248","41","Erin","97","1968-08-19",NULL
"1249","27","Vrnislav","63","2005-02-27",NULL
"1250","37","Lassie","36","1930-10-04",NULL
"1251","91","Nilo","108","1952-12-10",NULL
"1252","15","Barca","38","1961-04-07",NULL
"1253","35","Yennefer","131","1936-04-26",NULL
"1254","17","Favrola","64","1986-06-25",NULL
"1255","57","Blueberry","70","1934-04-24",NULL
"1256","11","Vivien","96","1952-10-25",NULL
"1257","98","Andulka","134","1971-11-17",NULL
"1258","34","Mailo","37","1963-10-04",NULL
"1259","89","Cindy","35","1991-11-25",NULL
"1260","54","Dorotka","78","2009-02-19",NULL
"1261","81","Zazinka","15","1980-10-13",NULL
"1262","48","Myspulka","101","1965-04-05",NULL
"1263","82","Arka","115","1998-09-18",NULL
"1264","52","Tatranka","148","1960-09-02",NULL
"1265","32","Anise","61","1969-11-22",NULL
"1266","27","Kumar","30","1956-04-09",NULL
"1267","75","Liza","59","1982-05-02",NULL
"1268","38","Olin","20","2009-10-12",NULL
"1269","68","Desi","62","1912-10-04",NULL
"1270","20","Pepina","57","1949-01-07",NULL
"1271","45","Didinka","2","1969-08-17",NULL
"1272","87","Katja","14","1937-11-19",NULL
"1273","65","Oliver","58","1969-03-23",NULL
"1274","47","Tegina","137","1921-05-11",NULL
"1275","80","Fabio","127","1961-09-22",NULL
"1276","80","Bobek","82","1981-05-11",NULL
"1277","88","Macko-lacko","105","1936-07-09",NULL
"1278","16","Naomi","107","2001-02-20",NULL
"1279","40","Issa","31","1959-01-31",NULL
"1280","30","Graicy","149","1928-08-30",NULL
"1281","40","Josefinka","50","2006-10-08",NULL
"1282","41","Babateno","35","1984-10-18",NULL
"1283","81","Bubinka","100","1966-06-04",NULL
"1284","52","Fei","11","1940-06-24",NULL
"1285","96","Ciki","141","1939-10-15",NULL
"1286","34","Ferdik,Ferdinka","39","1918-05-06",NULL
"1287","87","Lui","26","1961-01-15",NULL
"1288","52","Cikina","60","1960-12-18",NULL
"1289","6","Dolnes","116","2010-06-15",NULL
"1290","88","Majda","121","2010-05-12",NULL
"1291","75","Antonia","102","1983-04-04",NULL
"1292","57","Anda","0","1995-11-07",NULL
"1293","90","Pepsi","97","1996-05-27",NULL
"1294","88","Nokia","105","2005-03-10",NULL
"1295","20","Aranka","36","1999-07-20",NULL
"1296","31","Keiko","38","1997-01-06",NULL
"1297","9","Sophia","131","1923-03-28",NULL
"1298","62","Briketa","42","1987-09-06",NULL
"1299","29","Modro Ocka","100","2009-08-30",NULL
"1300","61","Yakuza","43","1948-02-28",NULL
"1301","30","Cika","39","1974-06-02",NULL
"1302","100","Bimbo","116","1964-05-30",NULL
"1303","73","Adamek","93","1987-07-24",NULL
"1304","71","Virdzina","25","1985-06-23",NULL
"1305","80","Macourek","30","1975-06-06",NULL
"1306","33","Rolnicka","22","1983-06-19",NULL
"1307","76","Dida","93","1953-11-05",NULL
"1308","92","Happy","8","2007-07-09",NULL
"1309","101","Muf","14","1965-01-07",NULL
"1310","81","Trubka","20","1917-04-21",NULL
"1311","93","Felix","23","2001-12-24",NULL
"1312","26","Dolly","117","1999-01-16",NULL
"1313","53","Lola","34","1978-02-02",NULL
"1314","14","Kessy","5","1982-01-30",NULL
"1315","37","Cassidy","2","1938-12-13",NULL
"1316","70","Sheba","65","1959-02-02",NULL
"1317","35","Mirinka","106","1993-06-08",NULL
"1318","69","Alojzie","66","1926-10-10",NULL
"1319","88","Schiela","60","1968-03-14",NULL
"1320","65","Galinka","6","1975-08-02",NULL
"1321","6","Princezna","28","1984-01-16",NULL
"1322","27","Indi","130","1956-04-08",NULL
"1323","52","Cedrik","28","1917-12-23",NULL
"1324","97","Ketynka","138","2009-09-12",NULL
"1325","53","Julinka","148","2009-08-07",NULL
"1326","66","Semiramis","110","2007-09-23",NULL
"1327","1","Pucik","2","1998-08-27",NULL
"1328","100","Citronek","38","1958-12-01",NULL
"1329","54","Greis","39","1987-04-21",NULL
"1330","79","Ondy","59","1970-07-26",NULL
"1331","56","Stellinka","141","1979-09-02",NULL
"1332","79","Julie","34","2001-06-28",NULL
"1333","55","Snapy","116","1983-05-03",NULL
"1334","38","Anyzka","58","1996-11-07",NULL
"1335","67","Tass","98","2001-03-08",NULL
"1336","4","Chicco","31","1926-02-25",NULL
"1337","77","Tommy","54","1989-10-01",NULL
"1338","84","Patricie","67","1911-05-05",NULL
"1339","3","Mici","122","1949-12-29",NULL
"1340","95","Ruby","63","1978-10-05",NULL
"1341","55","Alfred","87","1980-08-16",NULL
"1342","100","Timura","82","1981-09-06",NULL
"1343","20","Mica","57","2003-04-08",NULL
"1344","61","Cima","63","1934-03-03",NULL
"1345","28","Masa","2","1975-09-05",NULL
"1346","85","Ela","47","1990-10-11",NULL
"1347","75","Paul","104","1937-08-24",NULL
"1348","28","Darli","130","2004-07-07",NULL
"1349","42","Cicmunda","141","1972-08-02",NULL
"1350","33","MiciBusi","124","1986-01-22",NULL
"1351","103","Cucoriedka","34","1979-06-17",NULL
"1352","62","Drap","12","1949-11-02",NULL
"1353","39","Quilla","16","1947-06-26",NULL
"1354","84","Seylem","26","1928-09-30",NULL
"1355","45","Angara","69","1989-12-21",NULL
"1356","15","Spooty","74","1974-06-24",NULL
"1357","38","Elis","84","1943-04-29",NULL
"1358","9","Marion","131","1981-11-16",NULL
"1359","16","Bubicek","142","1990-03-12",NULL
"1360","3","Debra","4","1920-03-28",NULL
"1361","19","Shakira","103","1967-02-24",NULL
"1362","30","Bamboocha","1","1916-01-02",NULL
"1363","48","Quin","110","1989-02-03",NULL
"1364","10","Puzlik","97","1938-07-05",NULL
"1365","23","Nitka","22","1987-11-14",NULL
"1366","75","Esterka","51","1938-10-14",NULL
"1367","38","Yka","133","1966-12-02",NULL
"1368","9","Pitipacka","106","1955-01-15",NULL
"1369","103","Cobra","134","1963-03-15",NULL
"1370","37","Puppy","30","1965-09-20",NULL
"1371","30","Belina","76","1927-10-27",NULL
"1372","75","Zrzicka","49","2004-07-17",NULL
"1373","67","Bart","40","1954-04-19",NULL
"1374","24","Krystynka","123","1946-07-18",NULL
"1375","1","Eli-liu","69","1954-06-24",NULL
"1376","16","Bandaska","141","1973-08-07",NULL
"1377","86","Blondyna","117","1993-05-22",NULL
"1378","101","Cacorka","116","1961-01-18",NULL
"1379","28","Deniska","73","2009-08-27",NULL
"1380","11","Ropusinka","67","1980-02-04",NULL
"1381","41","Merry","119","1986-04-08",NULL
"1382","99","Kristynka","88","1953-11-16",NULL
"1383","61","Ikulenous","2","1921-03-26",NULL
"1384","81","Madison","135","1985-03-29",NULL
"1385","19","Amy","130","1973-05-16",NULL
"1386","97","Mindˇak","108","1951-12-24",NULL
"1387","94","Aurilka","123","1928-07-12",NULL
"1388","48","Noemi","148","1923-05-17",NULL
"1389","77","Rosemary","69","1993-12-18",NULL
"1390","99","Amneris","79","1988-08-26",NULL
"1391","59","Puffinka","48","1976-03-15",NULL
"1392","52","Milicka","105","2003-10-24",NULL
"1393","65","Beky","74","1953-04-30",NULL
"1394","61","Sinda","91","1917-11-22",NULL
"1395","30","Antis","20","1992-02-02",NULL
"1396","18","Vasa","129","1969-09-15",NULL
"1397","43","Citasek","102","2008-12-08",NULL
"1398","64","Venca","143","2002-07-23",NULL
"1399","82","Vanda","19","1948-10-16",NULL
"1400","94","Kirke","83","1946-11-14",NULL
"1401","26","Hurvinek","143","1976-09-24",NULL
"1402","64","Sisinka","8","1983-12-16",NULL
"1403","10","PimPin","12","2000-04-27",NULL
"1404","78","Wila","83","1912-08-13",NULL
"1405","23","Britney","58","1976-09-06",NULL
"1406","63","Felin","117","2008-06-12",NULL
"1407","21","Peggi","90","2001-01-26",NULL
"1408","98","Albina","0","1968-11-04",NULL
"1409","27","Snehulka","8","1951-08-30",NULL
"1410","16","Acarek","12","1992-07-21",NULL
"1411","32","Ketua","149","1970-08-29",NULL
"1412","2","Lukas","105","1938-05-22",NULL
"1413","45","Bessie","80","1994-08-28",NULL
"1414","30","Anicka","65","1968-12-24",NULL
"1415","9","Archiebald","23","2001-09-15",NULL
"1416","15","Bitch","53","1964-06-21",NULL
"1417","28","Cicman","62","1979-12-01",NULL
"1418","75","Pinkie","7","1994-12-29",NULL
"1419","13","Irmik","149","1972-01-07",NULL
"1420","32","Sendy","86","1963-11-10",NULL
"1421","76","Betynka","62","1918-01-28",NULL
"1422","52","Ruslan","88","1961-05-31",NULL
"1423","76","Mona","75","1967-09-28",NULL
"1424","80","Will","54","1965-03-10",NULL
"1425","8","Kulicka","8","1985-06-19",NULL
"1426","19","Koule","141","1994-07-30",NULL
"1427","26","Adrianna","76","1931-05-22",NULL
"1428","62","Ruslana","36","2009-09-29",NULL
"1429","69","Adelka","51","1995-08-07",NULL
"1430","50","Daminka","25","1937-08-03",NULL
"1431","77","Viktorka","70","1963-10-02",NULL
"1432","57","Dafne","1","1994-10-24",NULL
"1433","19","Amy","21","1997-09-18",NULL
"1434","51","House","70","1914-12-05",NULL
"1435","6","Ebbie","109","1944-01-12",NULL
"1436","67","Misel","111","1990-03-19",NULL
"1437","88","Mimi","85","1933-12-08",NULL
"1438","54","Enriko","92","2009-07-24",NULL
"1439","84","Lara","136","1987-01-20",NULL
"1440","93","Vilous","134","1995-05-01",NULL
"1441","37","Haskyna","124","1978-04-23",NULL
"1442","56","Inka","75","1942-04-14",NULL
"1443","69","Valerie","9","1913-02-27",NULL
"1444","83","Eliska","29","1979-08-26",NULL
"1445","79","Misa","44","1969-08-20",NULL
"1446","94","Dinuska","121","1950-01-26",NULL
"1447","74","Olinka","73","1930-03-13",NULL
"1448","76","Ziggi","121","1937-06-09",NULL
"1449","36","Blackie","22","1959-05-10",NULL
"1450","70","Rozinka","127","1999-04-15",NULL
"1451","3","Keissy","5","1933-05-01",NULL
"1452","33","Rica","8","1979-05-01",NULL
"1453","88","Sonak","139","1937-08-16",NULL
"1454","18","Martin","107","1986-09-27",NULL
"1455","38","Jolomb","120","1957-09-08",NULL
"1456","103","Cookie","112","1968-12-31",NULL
"1457","36","Slavka","129","2008-09-03",NULL
"1458","67","Kaleb","30","1977-05-09",NULL
"1459","43","Ofelie","55","1997-05-31",NULL
"1460","92","Vendy","139","1943-11-23",NULL
"1461","50","Mazel","40","1989-11-01",NULL
"1462","58","Mikrous","1","1954-05-14",NULL
"1463","62","Ginks","8","1943-02-05",NULL
"1464","52","Kimi","131","1989-01-20",NULL
"1465","39","Azinka","19","2004-11-17",NULL
"1466","37","Abi","65","1946-02-14",NULL
"1467","65","Nimitz","103","1978-08-02",NULL
"1468","24","Cikita","114","1991-05-12",NULL
"1469","52","Quentin","113","1935-12-11",NULL
"1470","83","Babulka","54","1968-04-01",NULL
"1471","23","Elizabeth","39","1970-03-23",NULL
"1472","72","Frnous","139","1961-03-15",NULL
"1473","16","Tutinka","66","2005-12-30",NULL
"1474","14","Benson","103","1913-06-09",NULL
"1475","96","Gombar","96","1911-09-28",NULL
"1476","17","Bibi","125","1955-01-22",NULL
"1477","19","Xena","123","1928-12-18",NULL
"1478","7","Ismet","88","1942-04-25",NULL
"1479","76","Havel","87","1987-06-06",NULL
"1480","74","Sobik","9","1951-03-09",NULL
"1481","51","Gucky","101","1930-04-19",NULL
"1482","94","Majjak","16","1960-08-10",NULL
"1483","33","Kirara","11","2000-12-24",NULL
"1484","30","Karamela","8","1959-12-14",NULL
"1485","10","Rachel","7","1937-08-02",NULL
"1486","10","Sachmet","57","1944-09-27",NULL
"1487","78","Hermiona","38","1973-09-07",NULL
"1488","97","Myspule","85","1975-02-13",NULL
"1489","4","Cloe","54","1965-04-05",NULL
"1490","85","Rybana","85","1963-09-13",NULL
"1491","24","Fidorka","96","1985-06-15",NULL
"1492","39","Cumacek","98","1998-12-27",NULL
"1493","41","Justin","78","1953-06-25",NULL
"1494","45","Madona","97","1933-02-12",NULL
"1495","21","Grater","119","1967-10-27",NULL
"1496","71","Princess","97","1928-08-23",NULL
"1497","52","Cokolada","136","2002-05-12",NULL
"1498","35","Bink","113","1988-10-29",NULL
"1499","12","Matylda","11","1999-10-21",NULL
"1500","24","Katerina","116","1995-05-09",NULL
"1501","79","Cookie","3","1992-03-05",NULL
"1502","102","Sabinka","56","1911-08-19",NULL
"1503","31","Ema","120","1944-03-02",NULL
"1504","57","Viki","78","2000-10-09",NULL
"1505","44","Mnauda","128","1986-05-01",NULL
"1506","8","Tequill","148","1966-01-29",NULL
"1507","20","Susenka","113","1986-02-26",NULL
"1508","78","Nufinka","13","1995-05-13",NULL
"1509","66","Bianka","118","1955-02-26",NULL
"1510","21","Zofi","57","1978-05-14",NULL
"1511","77","Palantir","102","1915-04-07",NULL
"1512","60","Liam","8","1977-09-30",NULL
"1513","4","Majduska","72","1983-12-05",NULL
"1514","53","LAURA","10","1949-03-16",NULL
"1515","42","Maylo","112","2004-10-30",NULL
"1516","55","Amfiteatra","24","1991-07-04",NULL
"1517","37","Lea","129","1957-11-16",NULL
"1518","84","Albertina","132","2003-07-18",NULL
"1519","37","Sisina","52","1954-12-16",NULL
"1520","15","Speedy","118","2004-11-09",NULL
"1521","90","Casper","69","1970-04-12",NULL
"1522","95","Otilka","147","1977-08-07",NULL
"1523","75","Brita","76","1939-12-21",NULL
"1524","75","Liliana","130","1977-08-25",NULL
"1525","22","Malicek","69","1983-03-28",NULL
"1526","46","Pamela","14","1972-01-21",NULL
"1527","90","Bryketka","91","1947-04-21",NULL
"1528","60","Jindriska","32","1957-01-07",NULL
"1529","28","Lady Lusy","37","1984-01-13",NULL
"1530","84","Garfield","54","1964-01-03",NULL
"1531","30","Adolf","21","1952-07-29",NULL
"1532","47","Marly","140","1911-09-16",NULL
"1533","8","Acus","87","1963-06-02",NULL
"1534","18","Viktorek","49","1996-11-11",NULL
"1535","55","Pitypacka","147","2004-11-10",NULL
"1536","50","Epsilonek","109","1948-08-13",NULL
"1537","84","Leo","99","1991-02-08",NULL
"1538","38","Barny","54","1946-07-19",NULL
"1539","37","Cuhajda","19","2000-02-18",NULL
"1540","46","Snehurka","112","1971-11-19",NULL
"1541","65","Rakosnicek","136","1999-10-16",NULL
"1542","56","Mina","142","1946-03-08",NULL
"1543","46","Neonka","58","1994-02-25",NULL
"1544","78","Macicak","140","1969-01-30",NULL
"1545","30","Zaneta","108","2003-09-26",NULL
"1546","81","Selina","121","1974-04-25",NULL
"1547","7","Lujzza","95","1923-02-07",NULL
"1548","83","Ivosenka","24","1981-03-12",NULL
"1549","103","Figaro","112","1951-08-19",NULL
"1550","49","Edmont","75","1951-03-28",NULL
"1551","83","Kanimura","92","1964-01-15",NULL
"1552","40","Miluna","11","1981-04-28",NULL
"1553","64","Mike","56","2003-04-25",NULL
"1554","81","Angela","55","1987-07-02",NULL
"1555","33","Valeta","90","1938-04-16",NULL
"1556","68","Gezi","119","1965-07-16",NULL
"1557","30","Beckie","82","1927-09-26",NULL
"1558","88","Bohousek","106","2004-08-31",NULL
"1559","24","Trumpetka","0","2003-01-26",NULL
"1560","41","Haskyna","71","1964-03-03",NULL
"1561","10","Efik","23","2000-05-01",NULL
"1562","86","Qiana","84","1998-01-13",NULL
"1563","36","Kimina","118","1978-01-01",NULL
"1564","34","Missy","27","2006-07-27",NULL
"1565","2","Kleo","64","1965-10-26",NULL
"1566","44","Vasil","28","1946-01-23",NULL
"1567","56","Puskin","128","1995-07-11",NULL
"1568","72","Camayinka","39","1928-05-27",NULL
"1569","77","Sasha","14","1944-01-21",NULL
"1570","44","Joui","80","1923-11-25",NULL
"1571","30","Kazi","97","1976-01-04",NULL
"1572","23","Azzalea","131","1919-03-18",NULL
"1573","66","Yenny","132","1982-08-27",NULL
"1574","78","Malvina","10","1970-08-10",NULL
"1575","15","Migalanchelo","1","1941-10-24",NULL
"1576","90","Nesie","73","1912-01-02",NULL
"1577","8","Bena","39","1971-03-09",NULL
"1578","62","Vlasenk","49","1956-10-12",NULL
"1579","14","Blaira","119","2011-02-17",NULL
"1580","37","Heide","135","1948-04-05",NULL
"1581","31","Barbie","43","1996-07-10",NULL
"1582","30","Jull","113","1952-10-23",NULL
"1583","24","Bobisek","43","2011-01-29",NULL
"1584","37","Gesi","85","1959-11-30",NULL
"1585","17","End´i","6","2002-12-05",NULL
"1586","18","Misa-Myska","5","1949-11-12",NULL
"1587","81","Chuvanka","34","1955-03-30",NULL
"1588","99","Jojo","145","1937-05-03",NULL
"1589","19","Nefis","78","1957-08-19",NULL
"1590","70","Evita","99","1943-01-25",NULL
"1591","57","Wolfik","110","1927-01-31",NULL
"1592","36","Briketka","142","1946-12-31",NULL
"1593","28","QinzJeBuzerant","90","1990-06-23",NULL
"1594","46","Koki","149","1952-05-13",NULL
"1595","8","Nata","138","1927-01-23",NULL
"1596","25","Kvetak","130","1940-11-19",NULL
"1597","88","Shiva","28","1985-12-28",NULL
"1598","7","Trupka","16","1948-04-10",NULL
"1599","46","Ciky","93","1920-01-25",NULL
"1600","40","Pytlik","71","1918-03-11",NULL
"1601","51","Tai","75","1993-06-05",NULL
"1602","72","Iminka","71","2001-07-12",NULL
"1603","51","Misu","61","1968-04-10",NULL
"1604","38","Pida","135","1921-06-07",NULL
"1605","3","Fiona","5","1943-01-18",NULL
"1606","5","Uwe","50","1961-08-31",NULL
"1607","9","Lejla","20","1941-12-31",NULL
"1608","103","Gilly","48","1913-10-02",NULL
"1609","49","Sylvka","20","1957-06-20",NULL
"1610","44","Eleonora","11","1956-11-15",NULL
"1611","40","Kapsa","46","2000-09-19",NULL
"1612","76","Cerry","149","1973-12-11",NULL
"1613","90","Honzik","74","2004-03-30",NULL
"1614","61","Revik","75","1988-04-10",NULL
"1615","65","Anellu","144","1991-05-23",NULL
"1616","87","CHechtalek","148","2006-12-15",NULL
"1617","66","Francine","24","1975-07-05",NULL
"1618","9","Kubicek","96","1941-04-29",NULL
"1619","52","Kikiska","129","1920-11-17",NULL
"1620","69","Gabreta","122","1917-01-31",NULL
"1621","36","Milka","47","1985-06-20",NULL
"1622","63","Majda","124","1965-01-15",NULL
"1623","62","Prdelka","44","1983-07-28",NULL
"1624","39","Babetka","112","1985-07-18",NULL
"1625","25","Smouky","49","1913-10-23",NULL
"1626","103","Mercie","134","1974-12-16",NULL
"1627","45","Zajda","143","1974-05-03",NULL
"1628","27","Raraska","11","1983-07-20",NULL
"1629","56","Tesinka","93","2009-07-24",NULL
"1630","76","Serafina","89","1912-02-20",NULL
"1631","5","Kayra","10","1942-06-16",NULL
"1632","3","Gliter","113","1964-09-10",NULL
"1633","34","Nala","114","1932-11-26",NULL
"1634","93","Gabinka","82","1959-02-17",NULL
"1635","33","Chloupek","117","1985-10-04",NULL
"1636","63","Rufus","113","1988-03-14",NULL
"1637","22","Samantha","67","1998-07-27",NULL
"1638","1","Sean","34","1965-01-17",NULL
"1639","92","Zabuza","125","1918-04-12",NULL
"1640","61","Cvinka","114","1984-11-15",NULL
"1641","67","Vilma","5","1984-07-04",NULL
"1642","45","Tallovie","103","2004-08-26",NULL
"1643","51","Kamila","39","2010-08-23",NULL
"1644","59","Xelly","51","1950-01-19",NULL
"1645","45","Carmen","65","2006-12-13",NULL
"1646","61","Gun","144","1947-07-16",NULL
"1647","88","Basula","137","1953-06-11",NULL
"1648","47","Ricci","71","1939-06-09",NULL
"1649","84","Charlotte","40","1947-07-06",NULL
"1650","63","Guji","56","1960-01-31",NULL
"1651","22","Sazicka","15","1946-09-14",NULL
